Código (SKU);Produto;Quantidade;ICMS;IPI;PIS;COFINS;ST;Frete;Valor Total;Percentual
Farol-01;Bottons tema São Paulo;550;0;0;0;0;0;0;1210;51,25 %
GIM-KIT-ABSOXI-10;Absorvente de Oxigênio Ageless ZP-300K 300cc Kit 10 Sachês Para Armazenamento de Alimentos| Removedor Oxigênio Armazenar;5;0;0;0;0;0;31,28;230,78;9,78 %
GIM-KIT-MAM-05-1;Kit 5 Bótons 3,5cm MAMONAS ASSASSINAS | Rock Nacional e Cómico/ Alternativo/ Nostalgia | Música | Pin Broche Alfinete;6;0;0;0;0;0;9,62;144,12;6,10 %
GIM-KIT-GOR-05-01;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin;5;0;0;0;0;0;0;111,6;4,73 %
GIM-KIT-GOR-05-05;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;3;0;0;0;0;0;12,04;80,74;3,42 %
GIM-KIT-GOR-05-02;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin;2;0;0;0;0;0;9,62;55,42;2,35 %
GIM-KIT-GOR-05-03;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;2;0;0;0;0;0;13,25;53,25;2,26 %
GIM-KIT-PIN-05-02;Kit 5 Bótons PINK FLOYD bóton 3,5cm | Rock Progressivo/ Rock Psicodélico | Música | Personalizados Pin Broche Alfinete -;2;0;0;0;0;0;0;45,8;1,94 %
GIM-KIT-STR-05-3;Kit 5 Bótons STRAY KIDS/ STAY/ SKZOO bóton 3,5cm | K-Pop | Música | Personalizados Pin Broche Alfinete / Presente Fofo -;2;0;0;0;0;0;0;42,9;1,82 %
GIM-KIT-GUN-05-1;Kit 5 Bótons GUNS N' ROSES bóton 3,5cm | Hard Rock/ Rock Clássico | Música | Personalizados Pin broche alfinete bottons;2;0;0;0;0;0;0;40;1,69 %
GIM-KIT-DEF-05-1;Kit 5 Bótons DEFTONES bóton 3,5cm | Alternative Metal / Nu Metal Artístico | Música | Personalizados Pin Broche Alfinete;1;0;0;0;0;0;12,04;34,94;1,48 %
GIM-KIT-ADI-05-01;Kit 5 Bótons ADICTS  3,5cm – Bóton Aço, Acetato, Polipropileno  | Rock | Música | Personalizados Pin broche botton bóton;1;0;0;0;0;0;9,62;32,52;1,38 %
GIM-KIT-THE-05-1;Kit 5 Bótons 3,5cm THE CURE | Gothic Rock/ Post-Punk/ New Wave | Música | Personalizados Pin Broche Alfinete / Presente;1;0;0;0;0;0;9,62;32,52;1,38 %
GIM-KIT-DEP-05-1;Kit 5 Bótons DEPECHE MODE bóton 3,5cm | Synth-Pop & Eletrônica/ New Wave/ Post-Punk |Música |Personalizados Pin alfinete;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-BEA-05-01;Kit 5 Bótons The Beatles  bóton 3,5cm | Rock | Música | Personalizados Pin broche botton / Broche Alfinete - Kit 1;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-ACD-05-01;Kit 5 Bótons AC DC  bóton 3,5cm (35mm) | Rock | Música | Personalizados Pin broche botton - Kit 1;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-KOR-05-1;Kit 5 Bótons KORN bóton 3,5cm | Nu Metal/ Alternative Metal | Música | Personalizados Pin broche alfinete botton;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-DEF-05-2;Kit 5 Bótons DEFTONES bóton 3,5cm | Alternative Metal / Nu Metal Artístico | Música | Personalizados Pin Broche Alfinete;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-BLA-05-01;Kit 5 Bótons BLACK SABBATH bóton 3,5cm | Heavy Metal/Doom Metal/Hard Hock | Música | Personalizados Pin broche botton;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-BTS-05-1;Kit 5 Bótons BTS/ BT21/ ARMY bóton 3,5cm | K-POP |Música | Personalizados Pin Broche Alfinete Presente Fofo - Kit 1;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-NIR-05-1;Kit 5 Bótons NIRVANA bóton 3,5cm | Grunge/ Rock Alternativo| Música | Personalizados Pin Broche Alfinete / Presente Fofo;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-BEA-05-02;Kit 5 Bótons The Beatles  bóton 3,5cm | Rock | Música | Personalizados Pin broche botton / Broche Alfinete - Kit 2;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-GOR-05-06;Kit 5 Bótons - GORILLAZ - Bóton 3,5cm | Rock Alternativo/Hip Hop/Alternativo e Eletrônica | Música | Personalizados-Pin ;1;0;0;0;0;0;0;22,9;0,97 %
GIM-KIT-BTS-05-2;Kit 5 Bótons BTS/ BT21/ ARMY bóton 3,5cm | K-POP |Música | Personalizados Pin Broche Alfinete Presente Fofo - Kit 2;1;0;0;0;0;0;0;17,17;0,73 %
